Date,COST,HD,JNJ,XOM,V,LLY,UNH,JPM,AVGO,TSLA,META,GOOGL,NVDA,AMZN,MSFT,AAPL
44866,-0.034420501,-0.025642729,-0.015649131,-0.021079483,-0.029861458,0.005436512,-0.007711379,-0.009689626,-0.026898342,-0.060000825,-0.050961505,-0.040242936,-0.026373732,-0.050041508,-0.037053534,-0.039294071
44867,0.004768712,-0.025932219,0.001538101,0.013188967,-0.031876447,0.017463682,-0.000265744,0.001370715,-0.027666162,-0.000456074,-0.018940434,-0.04234315,0.013006314,-0.031680508,-0.027983051,-0.04460578
44868,-0.000717716,0.008374782,0.004279747,0.010519118,0.01084847,-0.01316729,-0.010654491,0.02655184,0.045385196,-0.039082018,0.020151143,0.036273044,0.051158673,0.018048292,0.031737697,-0.004882183
44869,0.003425456,0.021158991,0.008547261,0.01145957,0.015178065,0.019914482,0.01205116,0.004827132,0.019893172,-0.053366941,0.06249771,0.0210328,0.008031703,-0.005548381,0.027804828,0.002619197
44872,0.007616023,0.002420183,0.004797277,0.002849809,0.007823692,0.003054804,0.01402896,0.000169731,0.013192064,-0.031756789,-0.003361475,0.003834772,0.018669924,-0.006683742,0.003334273,0.002890932
44873,-0.006642536,-0.01576618,-0.008190069,-0.046081491,-0.040217783,-0.01057973,-0.02325473,-0.013533108,-0.027770224,-0.076355325,0.049757761,-0.018720497,-0.060389801,-0.044203511,-0.020278501,-0.035028743
44874,0.045220625,0.082857836,0.011483413,0.014272382,0.057752383,0.013600162,0.005874197,0.039895658,0.074855778,0.069338956,0.096800964,0.072288906,0.131753275,0.114325431,0.078014299,0.083961037
44875,0.003585373,0.009768293,-0.030537979,0.030431117,-0.003313689,-0.04684556,-0.042037705,0.001188281,0.021284141,0.025165269,0.00945391,0.025165806,0.033820659,0.041560011,0.015809874,0.017810008
44876,-0.012260428,-0.026367614,0.015432118,-0.005415988,0.008495236,0.009325139,-0.016681004,-0.010765661,-0.01064683,-0.027939926,0.009788306,-0.008179569,-0.004121089,-0.023674076,-0.023801675,-0.010806356
44879,0.031446789,0.015618979,0.002626161,0.0063682,0.014480668,-0.018599989,-0.021723599,-0.007709115,0.020385959,0.016019226,0.023957709,0.027441115,0.020353267,0.003968704,0.000692659,0.010524051
44880,-0.005457179,0.008935482,0.006025642,-0.011060138,0.00017701,0.007188336,0.016179689,0.00091396,-0.025698046,-0.041329983,-0.034209652,0.00336842,-0.048582039,-0.01915619,-0.002036964,-0.009641466
44881,-0.006301929,-0.01165282,0.007876516,0.001014466,0.003499766,0.020679829,0.00678509,-0.004805572,-0.000460099,-0.022255968,-0.01661849,-0.005757166,-0.016912363,-0.024240605,-0.001251469,0.011612493
44882,0.00353317,0.00499874,0.007471959,-0.009018805,-0.001437958,0.001200564,0.027511445,0.009321527,0.004735711,-0.018392745,0.004595846,-0.01028792,-0.019402146,-0.008103572,-0.002949717,0.002499205
44883,-0.001537463,0.010856808,-0.001468243,-0.010266107,-0.022018461,-0.002674492,-0.025063595,-0.006359073,0.003213749,-0.072811953,-0.020511738,-0.019749236,-0.008147598,-0.01859684,0.002390351,-0.023194129
44886,0.015296419,0.024675742,0.004656696,0.028203156,0.018712314,-0.002094351,0.010746365,0.014406893,0.022875387,0.010089135,0.013506162,0.014265677,0.043838449,0.00738166,0.011191726,0.013279267
44887,0.003799038,-0.010999853,0.000911816,-0.005317702,0.006097098,0.001033868,0.01197924,0.010168009,0.005547811,0.073319594,0.006379723,0.01363616,0.027391129,0.009339162,0.009308529,0.004633368
44888,-0.002518563,0.014461051,0.001136497,-0.003840138,0.009145307,0.008420556,0.014225349,0.001464229,-0.008216705,-0.003847531,-0.00819564,-0.010996201,-0.017347522,-0.008268247,-0.001408166,-0.02106356
44890,-0.006112005,-0.023694667,0.000345562,-0.030806002,-0.012441639,0.00013158,-0.010597969,-0.018072035,-0.015839634,-0.001661883,-0.024662989,-0.015360971,-0.029764714,0.005174323,-0.024469313,-0.027890785
44893,-0.004662905,-0.009897367,-0.007179288,0.006312783,-0.011005322,-0.006279222,-0.008651537,0.015876618,-0.002773849,-0.013481446,0.005458344,-0.009781869,-0.014108759,-0.017009232,-0.006977084,-0.022650551
44894,0.018301987,0.024524392,0.010626267,0.006898,0.036739045,0.018110049,0.036144065,0.011354003,0.054088604,0.07191259,0.075199182,0.058358703,0.076746653,0.043024135,0.05875483,0.046174669
44895,-0.068845305,0.008888983,0.003986636,-0.005174836,-0.000537026,-0.003314233,-0.020603725,-0.014578125,-0.001710673,-0.001989933,0.018846666,-0.000787864,0.010290392,-0.011421115,-0.002809876,0.000614259
44896,-0.019655049,0.00223622,0.000620876,-0.008833055,0.002499851,0.010600323,-0.001994763,-0.008397848,-0.019433835,-0.001168473,0.024235097,-0.006248792,-0.017389905,-0.015039396,0.000250269,-0.004652469
44897,-0.012905297,-0.024984799,-0.000721302,-0.028093965,-0.018991721,-0.01599464,-0.002688008,-0.028880626,-0.020168001,-0.067795144,-0.009394075,-0.010391769,-0.018046684,-0.034297283,-0.020125996,-0.009290667
44900,-0.016431538,-0.008823194,-0.015266022,-0.028502696,-0.022299599,-0.003324049,0.007370726,0.0012342,-0.010327243,-0.01650969,-0.071062233,-0.02623971,-0.040388278,-0.031385639,-0.021557313,-0.026972808
44901,0.000717568,0.007896621,0.005895585,-0.002529591,-0.006629798,0.00797287,0.006037507,-0.001123212,-0.015221286,-0.034661205,-0.002439676,-0.022047532,0.006125679,0.001786843,-0.004109009,-0.015156263
44902,-0.002106219,0.011658992,7.23086E-06,0.00708826,0.005651418,-0.001775066,0.008588845,0.010000585,0.022770321,-0.005443321,0.011440029,-0.013828102,0.060885546,0.020550612,0.011278393,0.010784298
44903,0.002353499,-0.011773969,-0.008435441,-0.008776279,-0.002451861,-0.030770034,-0.016639582,-0.005872229,0.024156795,0.02984345,0.004156818,-0.010222876,-0.011992486,-0.014633867,-0.009080008,-0.00471628
44904,0.008636959,0.022560125,0.011716511,0.024016641,0.027294386,0.015901526,0.011679019,0.014953384,0.020426555,-0.066763028,-0.01109392,0.004369513,0.028767602,0.015665246,0.027435219,0.014981668
44907,0.000101302,0.014286853,0.007512016,0.010561714,-0.00778633,-0.024958999,-0.014692065,-0.001408204,0.024356114,-0.043788212,0.045560435,0.023771421,0.028005688,0.020608369,0.016269378,0.005484095
44908,-0.010596968,0.001048144,0.00290218,-0.00770633,0.000776484,0.012113361,-0.000336795,-0.005448594,0.004734083,-0.028112545,0.01114037,-0.006660949,-0.024428302,-0.010477502,0.000122358,-0.016933209
44909,-0.042366522,-0.01821219,-0.012870381,-0.00994032,-0.026225132,-0.01093852,-0.020634331,-0.025562758,-0.030239046,0.003543169,-0.046545568,-0.046081455,-0.043867996,-0.035365464,-0.033483311,-0.049262975
44910,-0.006281287,-0.013661614,-0.010469152,-0.007356091,-0.005455093,-0.001680055,-0.008167906,-0.006684609,-0.004954952,-0.050326735,0.027074601,-0.007413319,-0.024890802,-0.007282659,-0.018545518,-0.015961562
44911,-0.007094378,-0.019334821,-0.001244248,0.004165889,-0.010592693,-0.007115632,-0.00078794,0.005498912,-0.01256338,-0.004389141,-0.043103612,-0.021157902,-0.021474412,-0.034624959,-0.018524549,-0.017312971
44914,-0.002732129,-0.008450273,0.000920092,0.014036291,0.002095937,0.003894243,-0.007092274,0.004393189,-0.011461638,-0.085954771,0.021769326,0.005748787,-0.01261097,0.002584544,0.004554202,-0.001804356
44915,0.008254197,0.013681753,0.011214839,0.012446067,0.00649892,0.021715506,0.013395128,0.010746152,0.029942368,-0.003660384,0.021773573,0.005483209,0.023374578,0.017786904,0.009773397,0.022254997
44916,-0.008241008,-0.010769707,-0.003827014,-0.020693352,-0.009034904,-0.008654896,-0.001450191,-0.011853846,-0.015812334,-0.095013054,-0.023064029,-0.021314128,-0.075181536,-0.035537147,-0.026904851,-0.025335202
44917,0.007588191,0.007649878,0.002376622,0.025788345,0.00321096,0.005773783,0.007377384,0.004294813,-0.002396422,-0.019696601,0.007051135,0.015823637,-0.010867704,0.016684514,0.001219914,-0.004077495
44918,-0.009974966,0.001996702,-0.000443856,0.013485291,0.001695291,-0.00953366,0.000682118,0.003058816,0.000804909,-0.123128199,-0.010649165,-0.021624355,-0.076186152,-0.026855607,-0.008486402,-0.015251032
